,Acadia,Allen,Ascension,Assumption,Avoyelles,Beauregard,Bienville,Bossier,Caddo,Calcasieu,Caldwell,Cameron,Catahoula,Claiborne,Concordia,De Soto,East Baton Rouge,East Carroll,East Feliciana,Evangeline,Franklin,Grant,Iberia,Iberville,Jackson,Jefferson,Jefferson Davis,LaSalle,Lafayette,Lafourche,Lincoln,Livingston,Madison,Morehouse,Natchitoches,Orleans,Ouachita,Plaquemines,Pointe Coupee,Rapides,Red River,Richland,Sabine,St. Bernard,St. Charles,St. Helena,St. James,St. John the Baptist,St. Landry,St. Martin,St. Mary,St. Tammany,Tangipahoa,Tensas,Terrebonne,Union,Vermilion,Vernon,Washington,Webster,West Baton Rouge,West Carroll,West Feliciana,Winn
Franklin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.118945381981746,0.0,33.75534610232527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.84633957337729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.29450878489174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.573819437073137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.112846224099776,0.0,0.0,0.0,0.0,0.0,0.0,32.75585566785579,0.0,0.0,0.0,0.0,27.677604339228374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.16909496692356
Iberia,0.0,0.0,0.0,40.2112953214117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.81111613361234,0.0,0.0,0.0,0.0,29.234554945342357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.61183977570817,20.839971892873947,0.0,0.0,0.0,0.0,0.0,35.7896718613729,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iberville,0.0,0.0,26.48303876733615,30.01826746762527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.516870081695455,0.0,0.0,0.0,0.0,0.0,33.81111613361234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.489644759556626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.871239077780523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.291361796962477,0.0,0.0,0.0
Jackson,0.0,0.0,0.0,0.0,0.0,0.0,29.320874552321044,0.0,0.0,0.0,29.60707718447032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.57195066794406,0.0,0.0,0.0,0.0,0.0,26.50684568382886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.086069199989417
Jefferson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.559856549151768,0.0,0.0,0.0,0.0,0.0,22.702652754693354,0.0,39.28858817899217,0.0,0.0,0.0,0.0,0.0,0.0,16.031353672452358,0.0,0.0,31.091033229238686,0.0,0.0,0.0,44.03321713978648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jefferson Davis,24.091349750622072,26.554487186044327,0.0,0.0,0.0,41.05381252379507,0.0,0.0,0.0,32.640620260918105,0.0,35.318470319887524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.024522712504954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.27248304475942,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LaSalle,0.0,0.0,0.0,0.0,42.433613759262755,0.0,0.0,0.0,0.0,0.0,28.75116258033554,0.0,18.48726512010849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.112846224099776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.63047309409984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.53837286699173
Lafayette,21.603148560952125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.234554945342357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.231589600865586,27.789094897934117,0.0,0.0,0.0,0.0,0.0,0.0,29.314420093482564,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lafourche,0.0,0.0,0.0,44.656631806949534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.559856549151768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.71881602363585,0.0,38.66262543888725,38.681719990976454,0.0,0.0,0.0,0.0,0.0,0.0,28.529513430422142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
